OID	pop	PointX	PointY	fcadidature	fcost	fcapacity
0	184	19682242.13	3827295.546	0	0	0
1	335	19705995.73	3843237.954	0	0	0
2	223	19691179.51	3843197.486	0	0	0
3	2361	19674926.72	3842762.803	0	0	0
4	834	19679381.17	3855644.547	0	0	0
5	242	19687005.13	3855806.129	0	0	0
6	356	19693030.22	3855833.083	0	0	0
7	283	19706752.64	3849498.483	0	0	0
8	212	19699936.56	3849841.932	0	0	0
9	125	19693016.44	3849592.577	0	0	0
10	380	19686379.35	3849817.166	0	0	0
11	5475	19679514.08	3849680.545	0	0	0
12	585	19673673.3	3850148.608	0	0	0
13	600	19665742.33	3849971.779	0	0	0
14	1556	19679173.94	3843786.872	0	0	0
15	136	19686195.38	3842962.893	0	0	0
16	97	19693519.6	3843200.231	0	0	0
17	381	19700162.88	3843107.781	0	0	0
18	119	19699214.8	3836366.028	0	0	0
19	194	19693274.77	3835882.078	0	0	0
20	361	19686607.11	3835885.169	0	0	0
21	2993	19679719.08	3836364.592	0	0	0
22	180	19673061.91	3829448.003	0	0	0
23	556	19678641.77	3829590.071	0	0	0
24	143	19686390.46	3829390.256	0	0	0
25	171	19683772.83	3827409.833	0	0	0
26	115	19679609.37	3826652.051	0	0	0
27	153	19677718.97	3826812.883	0	0	0
28	1330	19674888.72	3826822.362	0	0	0
29	513	19672622.58	3826383.77	0	0	0
30	2027	19670576.95	3827968.284	0	0	0
31	750	19669052.29	3829541.499	0	0	0
32	2676	19670450.7	3828958.827	0	0	0
33	422	19675372.92	3829093.393	0	0	0
34	741	19677141.71	3829383.626	0	0	0
35	171	19682582.02	3829170.208	0	0	0
36	216	19684295.0	3828651.953	0	0	0
37	143	19688111.9	3829594.85	0	0	0
38	122	19690985.81	3830187.569	0	0	0
39	50	19695158.55	3832369.797	0	0	0
40	155	19692918.07	3831726.551	0	0	0
41	205	19691464.16	3830918.102	0	0	0
42	208	19688718.8	3832002.171	0	0	0
43	658	19685859.93	3832266.672	0	0	0
44	527	19684944.19	3831304.914	0	0	0
45	409	19682422.94	3831850.3	0	0	0
46	2872	19679961.21	3831048.678	0	0	0
47	742	19676714.43	3831698.034	0	0	0
48	91	19675087.49	3831002.001	0	0	0
49	768	19673140.71	3831697.387	0	0	0
50	1184	19670508.97	3831687.675	0	0	0
51	672	19668223.92	3831070.349	0	0	0
52	2662	19667148.89	3831231.249	0	0	0
53	870	19666740.07	3833969.429	0	0	0
54	648	19667906.37	3834018.364	0	0	0
55	3014	19670091.39	3833930.964	0	0	0
56	3083	19672519.19	3833930.964	0	0	0
57	2470	19675706.19	3834195.624	0	0	0
58	2008	19678134.21	3833723.144	0	0	0
59	2545	19679333.87	3833425.981	0	0	0
60	409	19681633.44	3833946.923	0	0	0
61	683	19683929.86	3834035.845	0	0	0
62	1447	19686748.21	3833639.467	0	0	0
63	352	19688361.53	3833940.099	0	0	0
64	353	19690823.67	3834233.141	0	0	0
65	52	19693681.02	3833579.01	0	0	0
66	50	19695906.06	3833724.111	0	0	0
67	62	19697926.47	3834117.331	0	0	0
68	95	19697599.15	3835817.358	0	0	0
69	68	19695317.34	3836329.077	0	0	0
70	194	19691591.9	3836108.664	0	0	0
71	291	19688704.24	3835720.683	0	0	0
72	3587	19684268.9	3835388.721	1	0	26141
73	760	19682531.66	3836295.03	0	0	0
74	7188	19677881.07	3836298.555	0	0	0
75	2704	19676284.41	3837189.511	0	0	0
76	2680	19671217.89	3835562.446	0	0	0
77	918	19667882.58	3836746.326	0	0	0
78	2164	19666747.76	3837916.312	0	0	0
79	918	19668125.13	3838300.185	0	0	0
80	1048	19670716.97	3838652.268	0	0	0
81	1518	19672092.88	3838792.474	0	0	0
82	3379	19675826.11	3838315.855	0	0	0
83	2380	19676714.43	3839248.172	0	0	0
84	1248	19679752.09	3838290.647	0	0	0
85	760	19682836.01	3837918.699	0	0	0
86	718	19684171.42	3838625.556	0	0	0
87	239	19686426.63	3837676.943	0	0	0
88	334	19688871.96	3838421.097	0	0	0
89	194	19691391.48	3837774.604	0	0	0
90	68	19693214.77	3838526.161	0	0	0
91	68	19695654.16	3838566.082	0	0	0
92	53	19697492.31	3838586.761	0	0	0
93	86	19699983.24	3838570.248	0	0	0
94	32	19702627.23	3838632.87	0	0	0
95	110	19703701.22	3839272.774	0	0	0
96	251	19705828.88	3840928.714	0	0	0
97	151	19704697.94	3840984.709	0	0	0
98	44	19702313.3	3840393.814	0	0	0
99	116	19700268.18	3840586.811	0	0	0
100	115	19698101.23	3840617.129	0	0	0
101	68	19695906.8	3840786.101	0	0	0
102	124	19693319.04	3840735.933	0	0	0
103	78	19691261.11	3840697.328	0	0	0
104	95	19688856.63	3840161.275	0	0	0
105	101	19686924.22	3840360.789	0	0	0
106	902	19683903.53	3840529.86	0	0	0
107	1504	19682360.52	3841222.136	0	0	0
108	5738	19679843.35	3841413.729	0	0	0
109	4606	19677051.72	3841496.795	1	0	50551
110	778	19674306.27	3841328.909	0	0	0
111	1818	19673567.66	3840094.634	0	0	0
112	3630	19669770.69	3840244.944	0	0	0
113	1292	19668591.07	3840574.305	0	0	0
114	1363	19667121.86	3840340.386	0	0	0
115	1080	19682515.9	3843001.229	0	0	0
116	134	19684647.88	3843044.863	0	0	0
117	662	19689388.13	3843453.884	0	0	0
118	387	19695676.57	3843073.472	0	0	0
119	322	19697902.02	3843180.812	0	0	0
120	183	19702087.93	3842777.937	0	0	0
121	335	19704833.43	3842823.616	0	0	0
122	809	19706458.55	3846087.278	0	0	0
123	809	19704867.94	3845483.005	0	0	0
124	476	19702120.58	3845020.472	0	0	0
125	476	19700156.48	3845047.658	0	0	0
126	387	19697669.27	3845390.1	0	0	0
127	387	19695945.17	3844739.666	0	0	0
128	185	19693543.28	3845083.327	0	0	0
129	1872	19691175.49	3845028.463	1	0	42928
130	779	19688872.0	3845106.347	0	0	0
131	182	19686356.02	3845051.305	0	0	0
132	1439	19683867.7	3845394.07	0	0	0
133	2805	19682436.55	3845147.595	1	0	44315
134	4377	19679416.52	3845879.094	0	0	0
135	397	19678021.7	3844835.149	0	0	0
136	856	19676217.92	3845338.572	0	0	0
137	319	19675032.15	3847507.718	0	0	0
138	640	19676969.63	3846947.509	0	0	0
139	1812	19679139.29	3847715.744	0	0	0
140	5958	19681304.86	3847634.811	0	0	0
141	3247	19684558.27	3847512.153	0	0	0
142	555	19685973.01	3847234.29	0	0	0
143	364	19688987.99	3847443.268	0	0	0
144	304	19690939.87	3847852.923	0	0	0
145	263	19693122.3	3847802.8	0	0	0
146	138	19696298.48	3847489.427	0	0	0
147	184	19697512.13	3847556.106	0	0	0
148	240	19700456.18	3847416.623	0	0	0
149	280	19701981.65	3847454.373	0	0	0
150	580	19704442.83	3847646.422	0	0	0
151	426	19706098.01	3847222.318	0	0	0
152	471	19704525.9	3849823.634	0	0	0
153	826	19702870.1	3849271.009	0	0	0
