OID	pop	PointX	PointY	fcadidature	fcost	fcapacity
1	136	19670450.7	3828958.827	1	0	1038
2	103	19687644.56	3833372.984	1	0	741
3	277	19670091.39	3833930.964	1	0	1239
4	85	19687021.11	3833221.782	1	0	871
5	255	19673907.89	3833571.649	1	0	799
6	135	19683929.86	3834035.845	1	0	1267
7	417	19676461.29	3834988.838	2	0	500
8	361	19677881.07	3836298.555	1	0	881
9	361	19679719.08	3836364.592	1	0	1953
10	335	19667621.73	3838155.964	1	0	1016
11	212	19670979.43	3838895.457	1	0	1179
12	300	19675826.11	3838315.855	1	0	1352
13	180	19673987.37	3840614.277	2	0	277
14	266	19677774.77	3841743.503	1	0	1099
15	55	19693823.26	3842858.033	1	0	846
16	137	19701204.18	3843317.714	1	0	687
17	119	19679173.94	3843786.872	0	0	0
18	218	19696963.59	3843984.65	2	0	342
19	266	19700483.9	3844850.566	2	0	617
20	39	19690260.95	3845550.486	1	0	2271
21	66	19674888.72	3826822.362	0	0	0
22	119	19673364.06	3826356.224	0	0	0
23	44	19678489.68	3826292.418	0	0	0
24	62	19675481.11	3827307.922	0	0	0
25	177	19670576.95	3827968.284	0	0	0
26	116	19682811.12	3827595.374	0	0	0
27	86	19671111.06	3828531.534	0	0	0
28	79	19684295.0	3828651.953	0	0	0
29	68	19675840.42	3828541.245	0	0	0
30	16	19690285.17	3830578.941	0	0	0
31	125	19669052.29	3829541.499	0	0	0
32	178	19677550.89	3829804.996	3	1000	900
33	77	19686683.6	3829513.006	0	0	0
34	36	19691464.16	3830918.102	0	0	0
35	48	19673402.91	3830551.464	0	0	0
36	30	19692497.8	3830441.662	0	0	0
37	50	19674917.86	3830871.934	0	0	0
38	34	19668223.92	3831070.349	0	0	0
39	76	19669246.51	3831609.986	0	0	0
40	133	19667148.89	3831231.249	0	0	0
41	38	19673140.71	3831697.387	0	0	0
42	199	19670508.97	3831687.675	0	0	0
43	136	19676714.43	3831698.034	0	0	0
44	51	19693684.86	3831090.304	0	0	0
45	76	19689291.92	3832274.747	0	0	0
46	158	19683246.19	3832652.969	0	0	0
47	102	19685859.93	3832266.672	0	0	0
48	54	19690059.07	3832202.07	0	0	0
49	52	19687410.38	3832210.145	0	0	0
50	30	19684644.6	3833523.093	0	0	0
51	32	19676736.44	3832853.667	0	0	0
52	30	19692223.24	3832961.145	0	0	0
53	29	19695873.26	3833429.51	0	0	0
54	150	19681342.79	3832248.983	0	0	0
55	204	19672677.02	3833384.512	0	0	0
56	32	19691651.07	3834018.97	0	0	0
57	100	19678134.21	3833723.144	0	0	0
58	142	19689663.38	3833558.715	0	0	0
59	66	19666740.07	3833969.429	0	0	0
60	132	19679333.87	3833425.981	0	0	0
61	15	19693337.62	3834632.725	0	0	0
62	58	19667906.37	3834018.364	0	0	0
63	37	19697195.68	3834635.35	0	0	0
64	11	19694096.7	3834826.532	0	0	0
65	30	19698556.87	3835452.062	0	0	0
66	113	19683013.12	3834331.065	0	0	0
67	58	19678387.35	3834614.632	0	0	0
68	130	19686748.21	3833639.467	0	0	0
69	72	19669062.0	3834756.416	0	0	0
70	157	19672519.19	3833930.964	0	0	0
71	126	19675706.19	3834195.624	0	0	0
72	62	19695921.71	3834996.112	0	0	0
73	119	19667624.74	3835183.709	0	0	0
74	46	19687703.64	3835352.16	0	0	0
75	126	19689332.33	3834359.925	0	0	0
76	55	19683525.87	3835177.882	0	0	0
77	66	19688767.02	3834874.983	0	0	0
78	115	19685227.27	3834292.22	0	0	0
79	77	19683199.57	3835768.324	0	0	0
80	43	19697402.21	3835827.562	0	0	0
81	64	19688256.66	3835193.919	0	0	0
82	126	19669622.3	3836427.293	0	0	0
83	43	19698622.58	3836897.737	0	0	0
84	134	19671217.89	3835562.446	0	0	0
85	200	19672800.81	3834659.304	0	0	0
86	51	19687398.15	3837086.549	0	0	0
87	113	19692158.64	3836667.693	0	0	0
88	232	19682327.51	3837223.062	0	0	0
89	218	19673847.46	3837756.239	0	0	0
90	186	19667102.09	3837556.376	0	0	0
91	112	19679752.09	3838290.647	0	0	0
92	94	19688484.88	3837914.177	0	0	0
93	68	19685690.35	3837564.047	0	0	0
94	54	19698416.06	3838352.799	0	0	0
95	202	19666747.76	3837916.312	0	0	0
96	100	19694171.62	3838983.38	0	0	0
97	23	19702208.61	3839310.324	0	0	0
98	78	19700387.43	3838700.136	0	0	0
99	150	19667573.82	3838939.983	0	0	0
100	117	19676714.43	3839248.172	0	0	0
101	59	19667487.48	3839557.953	0	0	0
102	132	19683751.17	3839334.278	0	0	0
103	37	19703701.22	3839272.774	0	0	0
104	32	19678584.21	3840574.305	0	0	0
105	59	19666711.99	3839535.134	0	0	0
106	46	19701590.97	3840786.577	0	0	0
107	192	19672092.88	3838792.474	0	0	0
108	39	19702274.32	3841431.898	0	0	0
109	100	19704011.01	3842633.498	0	0	0
110	82	19692053.66	3840204.659	0	0	0
111	87	19674337.13	3841703.53	0	0	0
112	59	19697133.53	3842349.931	0	0	0
113	88	19700256.01	3841891.886	0	0	0
