"OID_","IN_FID","NEAR_FID","NEAR_DIST"
,1,25,0.000000
,1,31,0.000000
,1,42,0.000000
,1,27,0.000000
,1,35,0.000000
,2,33,0.000000
,2,47,0.000000
,2,149,0.000000
,2,45,0.000000
,2,49,0.000000
,2,4,0.000000
,2,58,0.000000
,2,75,0.000000
,2,77,0.000000
,3,55,0.000000
,3,69,0.000000
,3,70,0.000000
,3,84,0.000000
,3,62,0.000000
,3,42,0.000000
,3,41,0.000000
,3,39,0.000000
,4,68,0.000000
,4,78,0.000000
,4,2,0.000000
,4,49,0.000000
,4,74,0.000000
,4,77,0.000000
,5,7,0.000000
,5,43,0.000000
,5,51,0.000000
,5,71,0.000000
,5,55,0.000000
,5,70,0.000000
,5,85,0.000000
,6,78,0.000000
,6,293,0.000000
,6,294,0.000000
,6,66,0.000000
,6,50,0.000000
,6,76,0.000000
,7,12,0.000000
,7,51,0.000000
,7,71,0.000000
,7,57,0.000000
,7,8,0.000000
,7,67,0.000000
,7,5,0.000000
,7,85,0.000000
,7,89,0.000000
,8,7,0.000000
,8,12,0.000000
,8,9,0.000000
,8,67,0.000000
,8,100,0.000000
,9,14,0.000000
,9,60,0.000000
,9,66,0.000000
,9,88,0.000000
,9,280,0.000000
,9,281,0.000000
,9,8,0.000000
,9,67,0.000000
,9,91,0.000000
,9,100,0.000000
,10,285,0.000000
,10,73,0.000000
,10,90,0.000000
,10,95,0.000000
,10,99,0.000000
,10,101,0.000000
,10,105,0.000000
,10,284,0.000000
,11,107,0.000000
,11,272,0.000000
,11,273,0.000000
,11,285,0.000000
,11,286,0.000000
,11,85,0.000000
,11,89,0.000000
,12,13,0.000000
,12,14,0.000000
,12,274,0.000000
,12,275,0.000000
,12,283,0.000000
,12,7,0.000000
,12,8,0.000000
,12,100,0.000000
,12,89,0.000000
,13,111,0.000000
,13,275,0.000000
,13,283,0.000000
,13,282,0.000000
,13,12,0.000000
,14,104,0.000000
,14,122,0.000000
,14,125,0.000000
,14,275,0.000000
,14,127,0.000000
,14,128,0.000000
,14,276,0.000000
,14,17,0.000000
,14,12,0.000000
,14,9,0.000000
,14,280,0.000000
,14,100,0.000000
,15,110,0.000000
,15,117,0.000000
,15,18,0.000000
,15,169,0.000000
,15,144,0.000000
,16,113,0.000000
,16,115,0.000000
,16,19,0.000000
,16,124,0.000000
,16,134,0.000000
,16,129,0.000000
,17,14,0.000000
,17,122,0.000000
,17,125,0.000000
,17,276,0.000000
,17,137,0.000000
,17,156,0.000000
,17,184,0.000000
,17,142,0.000000
,18,15,0.000000
,18,112,0.000000
,18,117,0.000000
,18,120,0.000000
,18,178,0.000000
,18,19,0.000000
,18,131,0.000000
,18,146,0.000000
,18,144,0.000000
,19,18,0.000000
,19,16,0.000000
,19,134,0.000000
,19,153,0.000000
,19,129,0.000000
,19,131,0.000000
,19,146,0.000000
,19,176,0.000000
,20,130,0.000000
,20,136,0.000000
,20,143,0.000000
,20,172,0.000000
,20,182,0.000000
,20,296,0.000000
,21,24,0.000000
,21,23,0.000000
,21,22,0.000000
,22,21,0.000000
,22,24,0.000000
,22,25,0.000000
,23,21,0.000000
,23,24,0.000000
,23,26,0.000000
,23,277,0.000000
,23,32,0.000000
,24,21,0.000000
,24,29,0.000000
,24,23,0.000000
,24,32,0.000000
,24,25,0.000000
,24,22,0.000000
,24,287,0.000000
,24,288,0.000000
,25,24,0.000000
,25,1,0.000000
,25,22,0.000000
,25,27,0.000000
,25,288,0.000000
,26,277,0.000000
,26,290,0.000000
,26,28,0.000000
,26,23,0.000000
,26,32,0.000000
,27,1,0.000000
,27,25,0.000000
,27,35,0.000000
,27,288,0.000000
,28,149,0.000000
,28,46,0.000000
,28,26,0.000000
,28,277,0.000000
,28,290,0.000000
,29,24,0.000000
,29,37,0.000000
,29,32,0.000000
