OID	pop	PointX	PointY	fcadidature	fcost	fcapacity
1	8	64201.83203	43952.77734	0	0	0
2	5	64600.07031	43983.01953	0	0	0
3	14	63188.5625	44009.03125	0	0	0
4	27	63805.02344	44008.46484	3	0	107
5	20	63507.32422	44009.21094	0	0	0
6	6	64209.83594	44050.08203	0	0	0
7	4	64703.74609	44002.875	0	0	0
8	3	64601.35938	44161.59375	0	0	0
9	36	63796.73047	44200.12109	0	0	0
10	15	64503.23438	44212.62109	0	0	0
11	20	64173.59375	44215.04297	0	0	0
12	12	63179.69531	44319.60938	0	0	0
13	47	63450.16016	44255.45313	0	0	0
14	19	63795.67578	44359.43359	0	0	0
15	13	64170.72656	44384.46094	0	0	0
16	7	62346.36328	44383.55859	0	0	0
17	4	63945.30859	44481.53125	0	0	0
18	7	64156.23047	44494.75391	0	0	0
19	19	64712.89453	44414.14844	0	0	0
20	9	62344.63672	44567.04297	0	0	0
21	10	63907.17578	44648.5	0	0	0
22	26	64500.36328	44434.41016	0	0	0
23	13	64511.23828	44547.78516	0	0	0
24	5	64727.59766	44691.58984	0	0	0
25	46	64277.73438	44612.12109	2	100	179
26	5	62684.51172	44896.26172	0	0	0
27	23	62503.25	44895.43359	0	0	0
28	13	63295.58203	44924.91797	0	0	0
29	10	64153.82813	44970.5	0	0	0
30	11	64385.19141	44965.77344	0	0	0
31	15	63255.13281	46151.95703	0	0	0
32	5	61619.1875	47755.35938	0	0	0
33	2	63914.45313	47824.53906	0	0	0
34	8	61894.84766	47792.85156	0	0	0
35	5	64576.74219	47786.07031	0	0	0
36	4	65089.6875	47767.30469	0	0	0
37	6	62408.69922	47773.03125	2	100	179
38	5	62155.64453	47788.33594	0	0	0
39	5	64133.91406	44723.43359	0	0	0
40	52	63467.20313	44578.9375	1	0	179
41	6	62560.44531	44719.01563	0	0	0
42	16	62802.31641	44579.17578	0	0	0
43	41	63770.86328	44578.95313	0	0	0
44	32	63192.10156	44583.14844	0	0	0
45	6	63485.83594	45668.09375	0	0	0
46	11	63666.07422	45666.02344	0	0	0
47	7	63878.97656	45666.94922	0	0	0
48	7	61940.24609	45683.30469	0	0	0
49	6	64387.78906	46368.63281	0	0	0
